Name,LON,LAT,BasinName,Yield_IRR_hi,Yield_IRR_lo,Yield_RFD_hi,Yield_RFD_lo,Ending,EndingRate,PlantingArea(km2),Yield Unit
Agency Rail LLC,-88.847333,40.490883,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,11437553.41,0.02,697299.2990291262,tons/km2
Airial Construction,-88.085602,41.851961,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,45750213.66,0.08,697299.2990291262,tons/km2
"Alliance Builders And Construction, Inc.",-87.816836,41.840134,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,62906543.78,0.11,697299.2990291262,tons/km2
Artix Construction Inc,-87.816836,41.840134,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,17156330.12,0.03,697299.2990291262,tons/km2
Assumption Cooperative Grain,-89.277259,39.545839,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,51468990.36,0.09,697299.2990291262,tons/km2
Atkinson Grain & Fertilizer,-90.131437,41.353145,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,68625320.48,0.12,697299.2990291262,tons/km2
B A B Grain,-89.658883,39.758174,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,68625320.48,0.12,697299.2990291262,tons/km2
Bridgeport Grain INC,-87.726786,38.719963,OhioR,733.7758620689656,489.66833355133633,624.7251069456545,416.76013513513516,308069153.87,0.14,3886203.1100000003,tons/km2
Copper Construction Co,-88.085602,41.851961,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,45750213.66,0.08,697299.2990291262,tons/km2
Crea Construction,-87.816836,41.840134,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,80062873.9,0.14,697299.2990291262,tons/km2
Danvers Farmers Elevator,-88.847333,40.490883,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,85781650.61,0.15,697299.2990291262,tons/km2
Donovan Farmers Cooperative,-87.824344,40.747251,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,91500427.31,0.16,697299.2990291262,tons/km2
Eminence Grain & Coal CO,-89.367545,40.124564,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,74344097.19,0.13,697299.2990291262,tons/km2
Farmers Grain Company Of Latham,-89.367545,40.124564,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,108656757.43,0.19,697299.2990291262,tons/km2
Farmers Grain Service Inc,-88.885951,41.344002,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,28593883.54,0.05,697299.2990291262,tons/km2
Geneva Construction Co,-88.428645,41.938852,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,102937980.73,0.18,697299.2990291262,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,91500427.31,0.16,697299.2990291262,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,80062873.9,0.14,697299.2990291262,tons/km2
Grainland Cooperative,-89.211128,40.788226,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,45750213.66,0.08,697299.2990291262,tons/km2
Grainland Elevator,-89.211128,40.788226,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,28593883.54,0.05,697299.2990291262,tons/km2
Grand Prairie Cooperative Inc,-88.199166,40.140104,OhioR,733.7758620689656,489.66833355133633,624.7251069456545,416.76013513513516,44009879.12,0.02,3886203.1100000003,tons/km2
Graymont Cooperative Association Grain ELEV,-88.557724,40.891579,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,28593883.54,0.05,697299.2990291262,tons/km2
Hartsburg Grain Company,-89.367545,40.124564,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,102937980.73,0.18,697299.2990291262,tons/km2
Heartland Construction,-87.816836,41.840134,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,22875106.83,0.04,697299.2990291262,tons/km2
Hometeam Group Inc,-87.816836,41.840134,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,74344097.19,0.13,697299.2990291262,tons/km2
Hudson Grain Co,-88.847333,40.490883,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,62906543.78,0.11,697299.2990291262,tons/km2
I D Construction,-88.452342,42.324432,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,28593883.54,0.05,697299.2990291262,tons/km2
Jayco Construction,-89.658883,39.758174,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,57187767.07,0.1,697299.2990291262,tons/km2
Jersey County Grain Company,-90.667537,39.16925,MissppRN,1065.6660412757974,709.4575163398691,903.5388127853881,601.8667883211679,45750213.66,0.08,697299.2990291262,tons/km2
