,Demand,Supply,Export,Supply/Demand,Export/Demand,Export/Supply,ObjVal
0.5,8.80E+07,6.72E+06,6.54E+06,7.63E-02,7.43E-02,9.73E-01,6.48E+08
0.8,8.80E+07,6.72E+06,6.23E+06,7.63E-02,7.08E-02,9.28E-01,5.64E+08
1.2,8.80E+07,6.72E+06,6.04E+06,7.63E-02,6.87E-02,9.00E-01,4.56E+08
1,8.80E+07,6.72E+06,6.07E+06,7.63E-02,6.90E-02,9.05E-01,5.10E+08
1.5,8.80E+07,6.71E+06,6.04E+06,7.63E-02,6.87E-02,9.00E-01,3.77E+08
2,8.80E+07,6.72E+06,6.04E+06,7.63E-02,6.87E-02,9.00E-01,2.45E+08
3,8.80E+07,6.71E+06,6.04E+06,7.63E-02,6.86E-02,9.00E-01,-1.77E+07
