Name,LON,LAT,BasinName,Yield_IRR_hi,Yield_IRR_lo,Yield_RFD_hi,Yield_RFD_lo,Ending,EndingRate,PlantingArea,Yield Unit
Agency Rail LLC,-88.847333,40.490883,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,98.99,0.09898570935812029,801.1119029126213,t/km2
Airial Construction,-88.085602,41.851961,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,63.96,0.063964523115532,801.1119029126213,t/km2
"Alliance Builders And Construction, Inc.",-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,50.82,0.05081723025524779,801.1119029126213,t/km2
Artix Construction Inc,-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,75.07,0.07506889318590379,801.1119029126213,t/km2
Assumption Cooperative Grain,-89.277259,39.545839,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,12.71,0.012714032129862352,801.1119029126213,t/km2
Atkinson Grain & Fertilizer,-90.131437,41.353145,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,41.67,0.04167148763844669,801.1119029126213,t/km2
B A B Grain,-89.658883,39.758174,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,78.56,0.07856443061844154,801.1119029126213,t/km2
Bridgeport Grain INC,-87.726786,38.719963,OhioR,49.267771658001756,32.84506267796943,33.86303682599979,22.575407336745908,89.86,0.08986241787475033,4843.018099999999,t/km2
Copper Construction Co,-88.085602,41.851961,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,43.32,0.04331580070842456,801.1119029126213,t/km2
Crea Construction,-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,0.17,0.00016519180717846637,801.1119029126213,t/km2
Danvers Farmers Elevator,-88.847333,40.490883,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,19.66,0.019656526786132323,801.1119029126213,t/km2
Donovan Farmers Cooperative,-87.824344,40.747251,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,60.75,0.060745883815386884,801.1119029126213,t/km2
Eminence Grain & Coal CO,-89.367545,40.124564,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,37.92,0.03791894232798548,801.1119029126213,t/km2
Farmers Grain Company Of Latham,-89.367545,40.124564,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,53.37,0.05337001082644281,801.1119029126213,t/km2
Farmers Grain Service Inc,-88.885951,41.344002,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,79.68,0.07967978172944949,801.1119029126213,t/km2
Geneva Construction Co,-88.428645,41.938852,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,93.89,0.09388794012682596,801.1119029126213,t/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,78.46,0.07846275405609768,801.1119029126213,t/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,14.15,0.01415443539023401,801.1119029126213,t/km2
Grainland Cooperative,-89.211128,40.788226,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,33.07,0.03306725672716695,801.1119029126213,t/km2
Grainland Elevator,-89.211128,40.788226,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,73.23,0.07323449780846161,801.1119029126213,t/km2
Grand Prairie Cooperative Inc,-88.199166,40.140104,OhioR,49.267771658001756,32.84506267796943,33.86303682599979,22.575407336745908,62.29,0.062289607524704874,4843.018099999999,t/km2
Graymont Cooperative Association Grain ELEV,-88.557724,40.891579,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,54.24,0.05423600414671448,801.1119029126213,t/km2
Hartsburg Grain Company,-89.367545,40.124564,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,52.66,0.05266443716315128,801.1119029126213,t/km2
Heartland Construction,-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,67.45,0.06744852741413618,801.1119029126213,t/km2
Hometeam Group Inc,-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,7.17,0.007170470610680335,801.1119029126213,t/km2
Hudson Grain Co,-88.847333,40.490883,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,82.39,0.08238953356927538,801.1119029126213,t/km2
I D Construction,-88.452342,42.324432,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,32.14,0.03214152358511239,801.1119029126213,t/km2
Jayco Construction,-89.658883,39.758174,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,2.26,0.0022554350224095352,801.1119029126213,t/km2
Jersey County Grain Company,-90.667537,39.16925,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,69.41,0.0694053424106466,801.1119029126213,t/km2
K T Richards Construction,-87.978648,41.44505,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,20.05,0.020054103005785397,801.1119029126213,t/km2
Kitchen Seed Co Inc,-90.886303,39.622511,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,15.35,0.015352287385667785,801.1119029126213,t/km2
Koehl Brothers Inc,-88.557724,40.891579,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,2.61,0.002608264038484276,801.1119029126213,t/km2
Legend Exterior & Construction,-88.085602,41.851961,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,91.1,0.0911022475032545,801.1119029126213,t/km2
Lincolnland Agri-Energy,-87.759567,39.002704,OhioR,49.267771658001756,32.84506267796943,33.86303682599979,22.575407336745908,72.73,0.0727328451124873,4843.018099999999,t/km2
Lumber 1 Construction,-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,30.47,0.03047104041219769,801.1119029126213,t/km2
Midwest Ingredients Inc,-89.759969,40.788053,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,45.56,0.04556306372167427,801.1119029126213,t/km2
Monica Elevator CO,-89.759969,40.788053,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,57.44,0.057440829304463134,801.1119029126213,t/km2
Northern Grain Marketing,-89.528673,41.404133,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,19.49,0.019489679459357877,801.1119029126213,t/km2
P&K Quality Construction,-89.277259,39.545839,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,94.91,0.09490920784074772,801.1119029126213,t/km2
Path Construction Co Inc,-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,86.74,0.08673848839847922,801.1119029126213,t/km2
Prentice Farmers Elevator,-90.247407,39.973553,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,97.62,0.09761754236692241,801.1119029126213,t/km2
"R.A. James Construction, Inc.",-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,69.72,0.06971948722337318,801.1119029126213,t/km2
Reyes Group Limited,-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,99.16,0.09915529257666282,801.1119029126213,t/km2
Roanoke Farmers Association,-89.211128,40.788226,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,61.52,0.061522857918160055,801.1119029126213,t/km2
Robert P Johnson Grain Company,-90.201473,39.715563,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,86.37,0.0863707803779361,801.1119029126213,t/km2
Rock River Lumber & Grain Company,-89.9141,41.756286,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,14.35,0.014351571985266653,801.1119029126213,t/km2
Shore Sales CO Inc,-88.199166,40.140104,OhioR,49.267771658001756,32.84506267796943,33.86303682599979,22.575407336745908,56.52,0.056520776226016166,4843.018099999999,t/km2
Siemer Milling Company,-88.589866,39.059805,OhioR,49.267771658001756,32.84506267796943,33.86303682599979,22.575407336745908,82.35,0.0823489308695883,4843.018099999999,t/km2
Stanford Grain Company,-88.847333,40.490883,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,90.87,0.09086627572815968,801.1119029126213,t/km2
Top Ag Cooperative,-89.435552,38.88684,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,68.15,0.06815040238552147,801.1119029126213,t/km2
Top Flight Grain,-88.591112,40.010348,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,37.85,0.03785414891081509,801.1119029126213,t/km2
Tremont Cooperative Grain Company,-89.513424,40.507537,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,68.99,0.06899476139940386,801.1119029126213,t/km2
Tri Central Cooperative - Main Ofc,-87.824344,40.747251,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,50.31,0.050313356458682165,801.1119029126213,t/km2
Twomey Company,-90.615017,40.848824,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,24.95,0.024951227421398825,801.1119029126213,t/km2
Union Iron Works Inc,-88.961566,39.859997,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,6.92,0.006915584676355668,801.1119029126213,t/km2
US NATIONAL CONSTRUCTION,-87.816836,41.840134,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,21.41,0.02141171866809034,801.1119029126213,t/km2
Wesemann Feeds,-88.77032,41.893537,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,26.67,0.026673376823567928,801.1119029126213,t/km2
Bazooka-Farmstar Inc,-91.717867,41.335614,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,33.54,0.033537217429720434,801.1119029126213,t/km2
Buckingham Co-Operative Company,-92.532561,42.079818,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,75.67,0.07567441478612369,801.1119029126213,t/km2
Clinton Feed & Grain,-90.531972,41.898036,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,64.21,0.06420705475445064,801.1119029126213,t/km2
Dandea Enterprises Inc,-91.599033,42.078966,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,49.89,0.0498871211339739,801.1119029126213,t/km2
Dunkerton Cooperative,-92.308832,42.470098,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,78.77,0.0787668037738008,801.1119029126213,t/km2
East Central Iowa Cooperative,-92.308832,42.470098,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,35.07,0.03507459478063454,801.1119029126213,t/km2
East Central Iowa Cooperative,-91.837854,42.470814,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,81.91,0.08191000479654584,801.1119029126213,t/km2
Farmers Cooperative,-93.240405,42.383881,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,31.57,0.031566043869533364,801.1119029126213,t/km2
Farmers Elevator & Exchange,-91.259615,41.218528,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,70.69,0.07068708133207278,801.1119029126213,t/km2
Gold Eagle Cooperative,-94.206724,43.204203,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,85.38,0.08538288875466934,801.1119029126213,t/km2
Gold Eagle Cooperative,-93.735145,42.733092,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,92.81,0.09281370334525217,801.1119029126213,t/km2
Gold Eagle Cooperative,-94.207168,42.776468,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,2.72,0.002716519392096328,801.1119029126213,t/km2
Gold-Eagle Cooperative,-93.735145,42.733092,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,15.14,0.015144218832737033,801.1119029126213,t/km2
Heartland Cooperative,-93.573539,41.685507,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,64.42,0.06442437063839501,801.1119029126213,t/km2
JUHL Feed Store,-94.396842,42.036249,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,31.14,0.031141010317498007,801.1119029126213,t/km2
Liquid Grow Tri Oak,-91.259615,41.218528,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,36.68,0.03668335521897224,801.1119029126213,t/km2
North Central Cooperative,-93.735145,42.733092,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,27.91,0.027912730732466962,801.1119029126213,t/km2
Professional Cooperative,-94.640411,42.385193,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,63.32,0.06331690678377817,801.1119029126213,t/km2
Pruess Elevator Inc,-91.132438,41.772328,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,61.65,0.06165191302976843,801.1119029126213,t/km2
Quality AG Service,-92.869011,41.029803,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,56.02,0.056020754708449715,801.1119029126213,t/km2
Reiff Grain & Feed Inc,-91.948896,41.031777,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,62.68,0.06267618379550559,801.1119029126213,t/km2
Shellsburg Elevator,-92.06575,42.080194,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,35.09,0.035085699131505554,801.1119029126213,t/km2
State Line Cooperative Elevator,-94.206724,43.204203,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,7.97,0.007967700892542251,801.1119029126213,t/km2
Tama Benton Cooperative Company,-92.532561,42.079818,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,84.46,0.08445562877011228,801.1119029126213,t/km2
Tri-States Grain Conditioning,-95.150889,43.377919,MissouriR,8.089890273545725,5.393262356317443,5.293853877989077,3.5292284893097143,65.06,0.06506362361059512,1487.0603636363635,t/km2
Agassiz Valley Grain,-96.490659,46.892358,NelsonR,17.35499809289088,11.569957797801644,10.513697728990957,7.009165672029858,42.61,0.04260635571447585,803.550304,t/km2
All American Cooperative,-92.401759,44.003767,MissppRN,6.923368528178762,4.615577554028277,4.757450859848006,3.171624527362902,92.03,0.0920274278976921,801.1119029126213,t/km2
