Name,LON,LAT,BasinName,Yield_IRR_hi,Yield_IRR_lo,Yield_RFD_hi,Yield_RFD_lo,Ending,EndingRate,PlantingArea(km2),Yield Unit
Agency Rail LLC,-88.847333,40.490883,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,120207840.87,0.16,874934.4466019417,tons/km2
Airial Construction,-88.085602,41.851961,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,45077940.32,0.06,874934.4466019417,tons/km2
"Alliance Builders And Construction, Inc.",-87.816836,41.840134,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,45077940.32,0.06,874934.4466019417,tons/km2
Artix Construction Inc,-87.816836,41.840134,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,22538970.16,0.03,874934.4466019417,tons/km2
Assumption Cooperative Grain,-89.277259,39.545839,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,15025980.11,0.02,874934.4466019417,tons/km2
Atkinson Grain & Fertilizer,-90.131437,41.353145,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,120207840.87,0.16,874934.4466019417,tons/km2
B A B Grain,-89.658883,39.758174,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,135233820.97,0.18,874934.4466019417,tons/km2
Bridgeport Grain INC,-87.726786,38.719963,OhioR,769.9788732394367,513.639930543961,654.1220338983051,436.1182628678426,288174619.58,0.1,4855799.9,tons/km2
Copper Construction Co,-88.085602,41.851961,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,82642890.6,0.11,874934.4466019417,tons/km2
Crea Construction,-87.816836,41.840134,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,97668870.7,0.13,874934.4466019417,tons/km2
Danvers Farmers Elevator,-88.847333,40.490883,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,22538970.16,0.03,874934.4466019417,tons/km2
Donovan Farmers Cooperative,-87.824344,40.747251,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,105181860.76,0.14,874934.4466019417,tons/km2
Eminence Grain & Coal CO,-89.367545,40.124564,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,97668870.7,0.13,874934.4466019417,tons/km2
Farmers Grain Company Of Latham,-89.367545,40.124564,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,15025980.11,0.02,874934.4466019417,tons/km2
Farmers Grain Service Inc,-88.885951,41.344002,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,120207840.87,0.16,874934.4466019417,tons/km2
Geneva Construction Co,-88.428645,41.938852,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,135233820.97,0.18,874934.4466019417,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,120207840.87,0.16,874934.4466019417,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,112694850.81,0.15,874934.4466019417,tons/km2
Grainland Cooperative,-89.211128,40.788226,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,7512990.05,0.01,874934.4466019417,tons/km2
Grainland Elevator,-89.211128,40.788226,MissppRN,1114.6917808219177,742.5189189189189,946.7853211009175,630.7710446327667,127720830.92,0.17,874934.4466019417,tons/km2
